"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
3.021235807E1,1.931216022E1,-9.918318219E1,2.309842114E3,2.301953857E3,2.950000048E0,1.861000061E2,1.569680792E-1,4.337353706E0,3.991989136E0,1.500000000E1
3.121235807E1,1.931214312E1,-9.918316361E1,2.309524001E3,2.301635742E3,2.109999895E0,1.660000000E2,1.600453328E-1,4.107335567E0,3.858533859E0,1.200000000E1
3.221235807E1,1.931211795E1,-9.918317580E1,2.308404453E3,2.300516113E3,1.940000057E0,1.813999939E2,1.616115716E-1,3.952136755E0,3.865205526E0,1.200000000E1
3.321235807E1,1.931210460E1,-9.918317104E1,2.307700128E3,2.299811768E3,1.769999981E0,1.795000000E2,1.621772680E-1,3.889086246E0,3.900100946E0,1.300000000E1
3.421235807E1,1.931209999E1,-9.918316876E1,2.306050476E3,2.298162109E3,5.600000024E-1,1.855000000E2,1.629488060E-1,3.975465059E0,4.190914154E0,1.100000000E1
3.521235807E1,1.931209405E1,-9.918317256E1,2.305346151E3,2.297457764E3,6.700000167E-1,1.693999939E2,1.635628355E-1,3.790092468E0,3.649940729E0,1.100000000E1
3.621235807E1,1.931208856E1,-9.918317319E1,2.304821263E3,2.296932861E3,6.399999857E-1,1.693999939E2,1.650414141E-1,3.790092468E0,3.558848143E0,1.100000000E1
3.721235807E1,1.931207542E1,-9.918317103E1,2.305048583E3,2.297160156E3,6.800000072E-1,1.810000000E2,1.670104237E-1,3.790092468E0,3.592900991E0,1.300000000E1
3.821235807E1,1.931205906E1,-9.918316385E1,2.305384055E3,2.297495605E3,1.409999967E0,1.681000061E2,1.693522903E-1,3.790092468E0,3.542927265E0,1.400000000E1
3.921235807E1,1.931203937E1,-9.918315593E1,2.307564748E3,2.299676270E3,1.809999943E0,1.678000031E2,1.709850653E-1,3.790092468E0,3.430063725E0,1.200000000E1
4.021235807E1,1.931202501E1,-9.918315268E1,2.307638260E3,2.299749756E3,1.649999976E0,1.678000031E2,1.723090539E-1,3.790092468E0,3.522320032E0,1.200000000E1
4.121235807E1,1.931201340E1,-9.918314988E1,2.307278174E3,2.299389648E3,1.320000052E0,1.678000031E2,1.733633269E-1,4.195403099E0,3.876187325E0,1.200000000E1
4.221235807E1,1.931201231E1,-9.918315986E1,2.307165891E3,2.299277344E3,0.000000000E0,NaN,1.735678783E-1,3.918744564E0,4.151946068E0,1.100000000E1
4.321235807E1,1.931201103E1,-9.918316126E1,2.307494266E3,2.299605713E3,0.000000000E0,NaN,1.737876798E-1,4.002379894E0,4.349297047E0,1.200000000E1
4.421235807E1,1.931200943E1,-9.918316003E1,2.307169072E3,2.299280518E3,0.000000000E0,NaN,1.738997167E-1,4.017940044E0,4.453231335E0,1.300000000E1
4.521235807E1,1.931200853E1,-9.918316051E1,2.306976692E3,2.299088135E3,0.000000000E0,NaN,1.744586196E-1,3.790092468E0,4.049667358E0,1.200000000E1
4.621235807E1,1.931201004E1,-9.918315543E1,2.307065546E3,2.299177002E3,0.000000000E0,NaN,1.745774734E-1,3.790092468E0,3.944523811E0,1.200000000E1
