"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
4.588233754E1,1.932366740E1,-9.917933907E1,2.295940296E3,2.288085693E3,1.370000005E0,2.957000122E2,6.397553681E-2,6.546947002E0,8.118690491E0,1.700000000E1
4.688233754E1,1.932366917E1,-9.917934854E1,2.295499881E3,2.287645264E3,1.669999957E0,2.967000122E2,6.441625950E-2,5.730202198E0,7.447578907E0,1.700000000E1
4.788233754E1,1.932366535E1,-9.917934966E1,2.295263808E3,2.287409180E3,1.590000033E0,2.971000061E2,6.542828036E-2,5.284490108E0,7.195478916E0,1.700000000E1
4.888233754E1,1.932365709E1,-9.917935371E1,2.297341716E3,2.289487061E3,5.199999809E-1,2.746000061E2,6.601810235E-2,4.507023335E0,6.392332077E0,1.700000000E1
4.988233754E1,1.932366099E1,-9.917935752E1,2.296909341E3,2.289054688E3,1.129999995E0,2.747000122E2,6.642950958E-2,4.221070290E0,5.882815361E0,1.700000000E1
5.088233754E1,1.932365796E1,-9.917935977E1,2.297286306E3,2.289431641E3,9.200000167E-1,2.747999878E2,6.746626910E-2,4.014907837E0,5.507188320E0,1.700000000E1
5.188233754E1,1.932366594E1,-9.917936488E1,2.297186200E3,2.289331543E3,1.429999948E0,3.122000122E2,6.845134080E-2,3.829998970E0,5.108351231E0,1.800000000E1
5.288233754E1,1.932366819E1,-9.917937396E1,2.297863215E3,2.290008545E3,1.070000052E0,3.117000122E2,6.942971977E-2,3.790092468E0,4.775472164E0,1.800000000E1
5.388233754E1,1.932367426E1,-9.917938071E1,2.298091730E3,2.290237061E3,1.409999967E0,3.117999878E2,7.060938808E-2,3.790092468E0,4.564404011E0,1.800000000E1
5.488233754E1,1.932368347E1,-9.917938629E1,2.297637863E3,2.289783203E3,1.149999976E0,3.118999939E2,7.230720305E-2,3.790092468E0,4.310353279E0,1.800000000E1
5.588233754E1,1.932368064E1,-9.917940219E1,2.300860801E3,2.293006104E3,1.419999957E0,2.877000122E2,7.260847431E-2,3.790092468E0,4.014047146E0,1.800000000E1
5.688233754E1,1.932368311E1,-9.917940101E1,2.302030959E3,2.294176270E3,3.600000143E-1,2.882999878E2,7.393695708E-2,3.790092468E0,3.862954855E0,1.900000000E1
5.788233754E1,1.932369494E1,-9.917940278E1,2.300983817E3,2.293129150E3,1.559999943E0,2.883999939E2,7.441838702E-2,3.790092468E0,3.553931475E0,1.900000000E1
5.888233754E1,1.932369807E1,-9.917940595E1,2.301118093E3,2.293263428E3,7.599999905E-1,2.882999878E2,7.634768356E-2,3.790092468E0,3.472680807E0,1.800000000E1
5.988233754E1,1.932369965E1,-9.917942426E1,2.302068810E3,2.294214111E3,1.490000010E0,2.882999878E2,7.740970734E-2,3.790092468E0,3.390460968E0,1.700000000E1
6.088233754E1,1.932370858E1,-9.917942067E1,2.299298763E3,2.291444092E3,1.370000005E0,2.882999878E2,7.908042156E-2,3.790092468E0,3.543255329E0,1.600000000E1
6.188233754E1,1.932371804E1,-9.917943304E1,2.299774352E3,2.291919678E3,1.600000024E0,3.091000061E2,7.962410000E-2,3.790092468E0,3.661904097E0,1.500000000E1
