"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
3.080830588E1,1.932909267E1,-9.912275486E1,2.236738168E3,2.229007812E3,5.969999790E0,9.350000000E1,8.222065076E-1,3.790092468E0,2.539167881E0,2.200000000E1
3.180830588E1,1.932908497E1,-9.912270774E1,2.236868951E3,2.229138672E3,4.389999866E0,9.680000305E1,8.264141195E-1,3.790092468E0,2.500000000E0,1.900000000E1
3.280830588E1,1.932908159E1,-9.912266780E1,2.237593245E3,2.229863037E3,3.690000057E0,9.269999695E1,8.290903633E-1,3.790092468E0,2.500000000E0,2.200000000E1
3.380830588E1,1.932908000E1,-9.912264235E1,2.237714048E3,2.229983887E3,2.599999905E0,9.569999695E1,8.321199782E-1,3.790092468E0,2.500000000E0,1.900000000E1
3.480830588E1,1.932907606E1,-9.912261378E1,2.237862193E3,2.230132080E3,2.349999905E0,9.219999695E1,8.347579474E-1,3.790092468E0,2.500000000E0,2.100000000E1
3.580830588E1,1.932908028E1,-9.912258904E1,2.238463941E3,2.230733887E3,2.410000086E0,9.219999695E1,8.379871578E-1,3.790092468E0,2.719434261E0,2.000000000E1
3.680830588E1,1.932907701E1,-9.912255846E1,2.238658713E3,2.230928711E3,3.430000067E0,9.490000153E1,8.418004363E-1,3.790092468E0,2.664892435E0,1.900000000E1
3.780830588E1,1.932907398E1,-9.912252226E1,2.238500689E3,2.230770752E3,4.230000019E0,9.369999695E1,8.462949280E-1,3.790092468E0,2.733438492E0,2.100000000E1
3.880830588E1,1.932907116E1,-9.912247953E1,2.238600464E3,2.230870605E3,4.300000191E0,9.540000153E1,8.497973467E-1,3.790092468E0,2.782572269E0,2.000000000E1
3.980830588E1,1.932906724E1,-9.912244641E1,2.238939763E3,2.231209961E3,3.210000038E0,9.600000000E1,8.530573837E-1,3.790092468E0,2.820128202E0,1.800000000E1
4.080830588E1,1.932906528E1,-9.912241541E1,2.239426034E3,2.231696289E3,3.349999905E0,9.480000305E1,8.567845034E-1,3.790092468E0,2.801239014E0,1.900000000E1
4.180830588E1,1.932906367E1,-9.912237993E1,2.240255313E3,2.232525635E3,3.299999952E0,9.550000000E1,8.597866481E-1,3.790092468E0,2.609504461E0,2.000000000E1
4.280830588E1,1.932906176E1,-9.912235139E1,2.239676159E3,2.231946533E3,3.000000000E0,9.700000000E1,8.638528700E-1,3.790092468E0,2.585113525E0,2.200000000E1
4.380830588E1,1.932905670E1,-9.912231301E1,2.239677316E3,2.231947754E3,4.550000191E0,9.480000305E1,8.690724304E-1,3.790092468E0,2.560631752E0,1.900000000E1
4.480830588E1,1.932905338E1,-9.912226339E1,2.239741922E3,2.232012451E3,5.889999866E0,9.200000000E1,8.759051876E-1,3.790092468E0,2.536623240E0,2.100000000E1
4.580830588E1,1.932904466E1,-9.912219893E1,2.240138787E3,2.232409424E3,7.389999866E0,9.719999695E1,8.844744340E-1,3.790092468E0,2.588457584E0,2.000000000E1
4.680830588E1,1.932903482E1,-9.912211793E1,2.240490699E3,2.232761475E3,9.109999657E0,9.690000153E1,8.936931971E-1,3.790092468E0,2.661823988E0,1.900000000E1
4.780830588E1,1.932902911E1,-9.912203028E1,2.240085998E3,2.232356934E3,9.390000343E0,9.480000305E1,9.033469177E-1,3.790092468E0,2.656195164E0,1.700000000E1
